observation_date,CUSR0000SETA01
2000-01-01,142.400
2000-02-01,142.200
2000-03-01,142.700
2000-04-01,143.000
2000-05-01,143.200
2000-06-01,143.200
2000-07-01,143.300
2000-08-01,143.200
2000-09-01,142.700
2000-10-01,142.200
2000-11-01,142.300
2000-12-01,142.600
2001-01-01,142.500
2001-02-01,142.400
2001-03-01,142.300
2001-04-01,142.300
2001-05-01,142.200
2001-06-01,142.100
2001-07-01,142.100
2001-08-01,141.600
2001-09-01,141.400
2001-10-01,141.600
2001-11-01,142.200
2001-12-01,142.500
2002-01-01,141.500
2002-02-01,140.200
2002-03-01,140.100
2002-04-01,140.000
2002-05-01,139.800
2002-06-01,139.600
2002-07-01,139.600
2002-08-01,139.400
2002-09-01,139.900
2002-10-01,140.000
2002-11-01,140.100
2002-12-01,139.800
2003-01-01,138.500
2003-02-01,138.200
2003-03-01,138.700
2003-04-01,138.300
2003-05-01,138.100
2003-06-01,137.800
2003-07-01,137.600
2003-08-01,138.000
2003-09-01,137.600
2003-10-01,137.100
2003-11-01,137.200
2003-12-01,137.200
2004-01-01,136.800
2004-02-01,137.300
2004-03-01,137.300
2004-04-01,137.300
2004-05-01,137.500
2004-06-01,137.700
2004-07-01,136.800
2004-08-01,135.900
2004-09-01,136.000
2004-10-01,136.400
2004-11-01,137.600
2004-12-01,138.100
2005-01-01,138.500
2005-02-01,138.600
2005-03-01,138.300
2005-04-01,138.300
2005-05-01,138.700
2005-06-01,138.600
2005-07-01,137.300
2005-08-01,136.500
2005-09-01,137.100
2005-10-01,137.700
2005-11-01,137.700
2005-12-01,137.500
2006-01-01,138.000
2006-02-01,138.100
2006-03-01,137.900
2006-04-01,137.900
2006-05-01,137.700
2006-06-01,137.700
2006-07-01,137.800
2006-08-01,137.600
2006-09-01,137.600
2006-10-01,137.400
2006-11-01,136.600
2006-12-01,136.400
2007-01-01,136.437
2007-02-01,136.201
2007-03-01,136.481
2007-04-01,136.578
2007-05-01,136.323
2007-06-01,136.171
2007-07-01,136.236
2007-08-01,136.438
2007-09-01,136.051
2007-10-01,135.831
2007-11-01,136.154
2007-12-01,136.098
2008-01-01,135.926
2008-02-01,135.405
2008-03-01,134.953
2008-04-01,134.726
2008-05-01,134.646
2008-06-01,134.660
2008-07-01,134.821
2008-08-01,134.162
2008-09-01,133.496
2008-10-01,132.925
2008-11-01,132.497
2008-12-01,132.069
2009-01-01,132.669
2009-02-01,133.415
2009-03-01,133.866
2009-04-01,134.367
2009-05-01,134.987
2009-06-01,135.729
2009-07-01,136.298
2009-08-01,134.771
2009-09-01,135.524
2009-10-01,137.891
2009-11-01,139.067
2009-12-01,138.928
2010-01-01,138.321
2010-02-01,138.117
2010-03-01,137.879
2010-04-01,137.639
2010-05-01,137.482
2010-06-01,137.409
2010-07-01,137.484
2010-08-01,137.782
2010-09-01,138.264
2010-10-01,138.442
2010-11-01,138.469
2010-12-01,138.678
2011-01-01,138.938
2011-02-01,139.725
2011-03-01,140.420
2011-04-01,140.878
2011-05-01,142.014
2011-06-01,142.706
2011-07-01,142.856
2011-08-01,142.848
2011-09-01,142.940
2011-10-01,143.095
2011-11-01,143.035
2011-12-01,143.163
2012-01-01,143.466
2012-02-01,143.838
2012-03-01,143.901
2012-04-01,143.898
2012-05-01,143.942
2012-06-01,144.073
2012-07-01,144.130
2012-08-01,144.311
2012-09-01,144.359
2012-10-01,144.547
2012-11-01,145.024
2012-12-01,145.318
2013-01-01,145.533
2013-02-01,145.121
2013-03-01,145.260
2013-04-01,145.378
2013-05-01,145.379
2013-06-01,145.854
2013-07-01,146.024
2013-08-01,146.066
2013-09-01,146.381
2013-10-01,146.233
2013-11-01,146.171
2013-12-01,146.042
2014-01-01,145.624
2014-02-01,145.625
2014-03-01,145.646
2014-04-01,145.986
2014-05-01,146.140
2014-06-01,146.099
2014-07-01,146.255
2014-08-01,146.464
2014-09-01,146.717
2014-10-01,146.928
2014-11-01,146.959
2014-12-01,146.886
2015-01-01,146.104
2015-02-01,146.316
2015-03-01,146.672
2015-04-01,147.024
2015-05-01,147.327
2015-06-01,147.489
2015-07-01,147.462
2015-08-01,147.410
2015-09-01,147.611
2015-10-01,147.481
2015-11-01,147.466
2015-12-01,147.272
2016-01-01,146.706
2016-02-01,147.374
2016-03-01,147.443
2016-04-01,147.213
2016-05-01,147.175
2016-06-01,147.046
2016-07-01,147.303
2016-08-01,147.335
2016-09-01,147.482
2016-10-01,147.784
2016-11-01,147.737
2016-12-01,147.686
2017-01-01,148.166
2017-02-01,148.284
2017-03-01,148.053
2017-04-01,148.147
2017-05-01,147.786
2017-06-01,147.097
2017-07-01,146.198
2017-08-01,146.097
2017-09-01,145.747
2017-10-01,145.474
2017-11-01,145.901
2017-12-01,146.790
2018-01-01,147.787
2018-02-01,147.386
2018-03-01,147.475
2018-04-01,145.964
2018-05-01,145.786
2018-06-01,145.769
2018-07-01,145.466
2018-08-01,145.491
2018-09-01,145.434
2018-10-01,145.457
2018-11-01,146.183
2018-12-01,147.281
2019-01-01,147.792
2019-02-01,147.755
2019-03-01,148.452
2019-04-01,147.686
2019-05-01,147.143
2019-06-01,146.697
2019-07-01,146.081
2019-08-01,145.841
2019-09-01,145.559
2019-10-01,145.596
2019-11-01,146.098
2019-12-01,147.316
2020-01-01,147.877
2020-02-01,148.230
2020-03-01,147.670
2020-04-01,146.838
2020-05-01,146.749
2020-06-01,146.449
2020-07-01,146.961
2020-08-01,146.898
2020-09-01,147.137
2020-10-01,147.907
2020-11-01,148.443
2020-12-01,150.089
2021-01-01,149.989
2021-02-01,149.941
2021-03-01,149.842
2021-04-01,149.757
2021-05-01,151.665
2021-06-01,154.141
2021-07-01,156.328
2021-08-01,158.108
2021-09-01,159.999
2021-10-01,162.483
2021-11-01,164.940
2021-12-01,167.732
2022-01-01,168.269
2022-02-01,168.507
2022-03-01,168.643
2022-04-01,169.548
2022-05-01,170.814
2022-06-01,171.761
2022-07-01,172.653
2022-08-01,174.003
2022-09-01,175.049
2022-10-01,176.113
2022-11-01,176.815
2022-12-01,177.609
2023-01-01,177.968
2023-02-01,178.332
2023-03-01,178.924
2023-04-01,178.774
2023-05-01,178.778
2023-06-01,178.728
2023-07-01,178.722
2023-08-01,179.095
2023-09-01,179.488
2023-10-01,179.410
2023-11-01,179.196
2023-12-01,179.374
2024-01-01,179.273
2024-02-01,179.106
2024-03-01,178.803
2024-04-01,178.164
2024-05-01,177.420
2024-06-01,177.149
2024-07-01,176.895
2024-08-01,176.950
2024-09-01,177.176
2024-10-01,177.141
2024-11-01,177.974
2024-12-01,178.620
2025-01-01,178.683
2025-02-01,178.551
2025-03-01,178.724
2025-04-01,178.709
